,Estimate#,Converted#,CompanyName,PriceTotal,DateCreated,DateConverted,DateLost,DateVoided
0,7505,,"Platinum Aerial Contractors, LLC.",16222.5,1/2/2019 8:59,,1/31/2019 16:59,
1,7506,,CS Energy,35.72,1/2/2019 12:24,,1/11/2019 15:36,
2,7507,182279,G&G Equipment Specialists,172.48,1/2/2019 12:35,2/5/2019 14:30,,
3,7508,,"Pro Door and Security, Inc.",,1/2/2019 13:44,,1/3/2019 11:35,
4,7509,171271,"Pro Door and Security, Inc.",218,1/2/2019 13:51,1/2/2019 16:28,,
5,7510,171320,WeWork,259,1/2/2019 15:08,1/3/2019 6:59,,
6,7511,173416,POET Biorefining,420.96,1/2/2019 15:10,1/9/2019 12:39,,
7,7512,171919,Logan's Gun Shop,108.5,1/3/2019 9:05,1/4/2019 12:47,,
8,7513,174401,Kearny Real Estate Company,96,1/3/2019 10:08,1/11/2019 16:26,,
9,7514,171465,Ozark Automotive,7662.5,1/3/2019 10:30,1/3/2019 11:30,,
10,7515,,Graphic Innovations,6319.9,1/3/2019 11:01,,1/17/2019 14:10,
11,7516,,"Mega Prints and Signs, LLC",74.5,1/3/2019 11:07,,1/14/2019 13:32,
12,7517,185435,Sysco Cleveland,583.74,1/3/2019 11:18,2/14/2019 13:09,,
13,7518,,Marigold Mining Company,394.02,1/3/2019 11:20,,1/10/2019 14:38,
14,7519,173237,Best Plumbing Specialties,50.88,1/3/2019 12:25,1/9/2019 9:57,,
15,7520,,Terra Visual Inc.,435.5,1/3/2019 12:25,,3/8/2019 14:33,
16,7521,172612,Richmond County School System,190.63,1/3/2019 12:47,1/7/2019 15:15,,
17,7522,175274,"Quickmill, Inc.",76.5,1/3/2019 12:59,1/15/2019 12:29,,
18,7523,,Stephenson Signs,792.5,1/3/2019 13:04,,2/7/2019 15:16,
19,7524,171915,Power House Manufacturing,12.82,1/3/2019 13:30,1/4/2019 12:44,,
20,7525,174301,Castcon Construction Co.,110.5,1/3/2019 14:06,1/11/2019 13:35,,
21,7526,171812,Battelle Advanced Manufacturing,167,1/3/2019 14:17,1/4/2019 9:42,,
22,7527,173446,"Society Hill at Lawrenceville, HOA",23.98,1/3/2019 14:35,1/9/2019 13:24,,
23,7528,,USPS,,1/3/2019 14:44,,4/12/2019 13:17,
24,7529,171976,The Boeing Company,150.28,1/3/2019 14:51,1/4/2019 14:02,,
25,7530,177233,American Assets Trust,226.25,1/3/2019 14:59,1/21/2019 14:18,,
26,7531,172087,"Glen Raven Custom Fabrics, LLC",21.2,1/3/2019 15:17,1/4/2019 17:37,,
27,7532,172909,Brent Bryan,170.13,1/3/2019 15:23,1/8/2019 13:27,,
28,7533,171921,World Oil Environmental Services,312.5,1/4/2019 8:32,1/4/2019 12:54,,
29,7534,,Katerra,697,1/4/2019 8:44,,4/1/2019 16:10,
30,7535,171887,WeWork,695,1/4/2019 11:19,1/4/2019 11:55,,
31,7536,174671,Cross Texas Transmission,235.5,1/4/2019 11:45,1/14/2019 11:18,,
32,7537,172616,Richmond County School System,1392.67,1/4/2019 12:01,1/7/2019 15:18,,
33,7538,173188,Les Chateaux Apartments,1197.57,1/4/2019 12:32,1/9/2019 7:14,,
34,7539,,Arrow Pump & Supply,674,1/4/2019 12:58,,1/22/2019 14:59,
35,7540,173195,Armstrong,342,1/4/2019 13:56,1/9/2019 7:55,,
36,7541,172506,The Brien Center for Mental Health and Substance Abuse Services,400.1,1/4/2019 14:16,1/7/2019 13:32,,
37,7542,172053,"New Image Enterprises, Inc.",39.5,1/4/2019 14:17,1/4/2019 16:03,,
38,7543,172588,Ferguson,2336.6,1/4/2019 14:22,1/7/2019 14:54,,
39,7544,173428,Confluence Health,48.11,1/4/2019 14:27,1/9/2019 12:57,,
40,7545,,"Reading Truck Body, LLC",100.17,1/4/2019 15:04,,1/15/2019 15:14,
41,7546,175099,"Quality Inn - Lexington, KY",113.95,1/4/2019 15:32,1/15/2019 9:05,,
42,7547,172791,Stockton University,61.31,1/4/2019 16:48,1/8/2019 10:25,,
43,7548,,"JR Automation Technologies, LLC",318.53,1/4/2019 17:16,,1/10/2019 14:04,
44,7549,172918,JLL Property Management,64.28,1/4/2019 17:43,1/8/2019 13:31,,
45,7550,,Bio-Rad Laboratories,114.5,1/7/2019 7:11,,2/6/2019 10:58,
46,7551,,Solvay,332.5,1/7/2019 8:34,,1/16/2019 12:56,
47,7552,,RBC Precision Products,113.96,1/7/2019 8:40,,1/23/2019 12:21,
48,7553,,Ann Kuster,0,1/7/2019 8:45,,2/21/2019 13:29,
49,7554,172584,Travis Millwork,151,1/7/2019 9:07,1/7/2019 14:52,,
50,7555,177278,Team Commercial Construction,265,1/7/2019 9:45,1/21/2019 15:30,,
51,7556,,Cabot Corportion,153.95,1/7/2019 9:50,,1/24/2019 14:03,
52,7557,,Duncan Hardware,122.1,1/7/2019 9:54,,1/7/2019 10:06,
53,7558,174802,Duncan Hardware,573.5,1/7/2019 10:14,1/14/2019 13:40,,
107,7559,172716,Richmond County School System,119.35,1/7/2019 10:41,1/8/2019 7:53,,
108,7560,172560,Village of Milledgeville,60,1/7/2019 10:45,1/7/2019 14:19,,
109,7561,,Konecranes,,1/7/2019 11:10,,4/2/2019 13:28,
110,7562,172706,Ferguson- San Leandro,1920.3,1/7/2019 11:16,1/8/2019 7:04,,
111,7563,,Automation Solutions,92.5,1/7/2019 11:32,,1/7/2019 11:34,
112,7564,172569,Universe Driving School,76.5,1/7/2019 12:01,1/7/2019 14:28,,
113,7565,173048,Union Telephone Co,905.45,1/7/2019 12:01,1/8/2019 15:32,,
114,7566,172795,"GoGRill, LLC",12,1/7/2019 13:09,1/8/2019 10:44,,
115,7567,,All Things Business,4482.21,1/7/2019 13:21,,1/15/2019 8:21,
116,7568,175313,Jeanne Aydt,58.32,1/7/2019 13:38,1/15/2019 13:03,,
117,7569,174173,Elizabeth Newland,98.5,1/7/2019 13:41,1/11/2019 10:43,,
118,7570,172995,UPS,98.5,1/7/2019 13:49,1/8/2019 14:23,,
119,7571,176272,Shell FoodMart,172.5,1/7/2019 14:17,1/17/2019 13:33,,
120,7572,176018,SEIU-United Healthcare Workers,448.5,1/7/2019 14:20,1/17/2019 7:07,,
121,7573,,Contractors Network Inc,350.43,1/7/2019 14:31,,2/14/2019 13:46,
